Name	Id
chloroplast Eryngium cervantesii	71973.chloroplast
Leishmania guyanensis	5670
mitochondrion Puffinus carneipes	48677.mitochondrion
mitochondrion Scolymia sp. PL1	242746.mitochondrion
Pseudozyma tsukubaensis	5483
mitochondrion Euplectes hordeaceus	247668.mitochondrion
Dinocampus coccinellae	144245
Streptomyces lasaliensis	324833
chloroplast Macrozamia moorei	133431.chloroplast
Laxus oneistus	74811
Treponema pallidum subsp. pallidum	161
Capreolus pygargus tianschanicus	413807
Bacillus thuringiensis serovar huazhongensis	180854
Oldenlandia affinis	60225
Theromyzon trizonare	171616
chloroplast Hesperantha pseudopilosa	152728.chloroplast
Anser sp.	8847
mitochondrion Paratemnopteryx centralensis	102999.mitochondrion
chloroplast Pitcairnia punicea	294025.chloroplast
East African cassava mosaic virus-Uganda2 Mild	223271
chloroplast Oxytropis anertii	454199.chloroplast
Burkholderia phage Bcep781	209052
mitochondrion Engraulis japonicus	42892.mitochondrion
Ochlerotatus epactius	173086
chloroplast Medicago platycarpa	119393.chloroplast
chloroplast Suaeda microsperma	224176.chloroplast
Euplotes octocarinatus	5937
mitochondrion Anolis punctatus	174263.mitochondrion
Chitala chitala	112163
Streptomyces cattleya	29303
Thalassophryne nattereri	289382
Lycaena rubidus	289056
mitochondrion Geomys bursarius missouriensis	100211.mitochondrion
mitochondrion Lepus californicus	48087.mitochondrion
Aeromonas jandaei	650
Paramecium bursaria Chlorella virus CA4B	240264
Anabaena lemmermannii 'BC Ana 0027'	320677
Arthrobacter sp. NHB-10	419189
GB virus C variant troglodytes	93986
Solanum neorickii	62891
mitochondrion Drymophila sp. CQ-2002	196310.mitochondrion
chloroplast Keckiella rothrockii	155437.chloroplast
mitochondrion Ochotona alpina	130819.mitochondrion
Capsella rubella	81985
chloroplast Iva frutescens	114189.chloroplast
Sporosarcina globispora	1459
mitochondrion Perdicula asiatica	249172.mitochondrion
Enterobacteria phage Ike	10867
Hanseniaspora uvarum	29833
Rotavirus G192B	72134
Rotavirus G192A	72133
chloroplast Psathyrotes annua	128726.chloroplast
chloroplast Monomastix sp. OKE-1	141716.chloroplast
Cucurbita maxima	3661
chloroplast Paris verticillata	55185.chloroplast
chloroplast Litsea globularia	384307.chloroplast
chloroplast Amelanchier bartramiana	35968.chloroplast
Paramecium bursaria Chlorella virus SH6A	240266
Dalbergia nigrescens	298683
Chamaecyparis obtusa var. formosana	231167
Nitrobacter sp. Termite2	393261
mitochondrion Callisaurus draconoides inusitanus	330824.mitochondrion
chloroplast Cylindrotheca sp.	2855.chloroplast
Cactus mild mottle virus	229030
